id,location,start_time,end_time,instructor,instance_id,name,track,culture,topic_and_subtopic,adult_only,description_book,description_web,duration,fee_itemization,handout_fee,handout_limit,material_fee,material_limit,repeat_count,updated_at
661,Dance Tent,2013-07-21 09:00:00 -0400,2013-07-21 15:00:00 -0400,Pennsic Dance Staff,1078,Dance Floor Construction,European Dance,European,,false,Come out and help us set up the fabulous floor in the European Dance Pavilion!,"",6.0,"",,,,,1,2013-04-17 11:12:18 -0400
722,A&S 1,2013-07-23 09:00:00 -0400,2013-07-23 10:00:00 -0400,Chirurgeon Instructors,1048,Chirurgeon Orientation,First Aid,"",,false,Orientation for those wishing to volunteer at First Aid Point at Pennsic.,"",1.0,"",,,,,4,2013-04-17 11:01:56 -0400
675,A&S 3,2013-07-23 09:00:00 -0400,2013-07-23 10:00:00 -0400,Lady Arastorm ,1006,Travel and Trade in Anglo-Saxon England ,Pennsic University,European,,false,"Where did the Anglo-Saxons travel, how and why?","What forms of transportation were used during the Anglo-Saxon period? Where did they go? Why? How? How far? The Crusades were in part to protect pilgrimage routes. When did they start to go to the Holy Land, and where else did they go?",1.0,"free handout, optional $5 booklet available ",,,,,2,2013-04-16 14:14:46 -0400
666,A&S 6,2013-07-23 09:00:00 -0400,2013-07-23 10:00:00 -0400,Lady Vika Grigina z Prahy,993,Basic 14th-Century Tablet-Woven Edge,Pennsic University,European,,false,"How to work a basic tablet-woven braid directly onto a garment edge (gown center-front, buttoned sleeve, etc.).","One method of finishing edges, particularly load-bearing ones, in the 14th century was to tablet-weave a cord and sew it onto the piece as you worked. This sounds far more intimidating than it really is, even if you haven't picked up a set of tablets heretofore. (Demonstration, not hands-on.)",1.0,"",,,,,1,2013-04-23 16:20:00 -0400
475,A&S 7,2013-07-23 09:00:00 -0400,2013-07-23 11:00:00 -0400,Baroness Camilla de la Reynarde,725,"Beginning Tatting, Part 1",Pennsic University,Other,,false,"Tatting is a form of lacemaking. Supplies can be found at craft stores. Learn a craft that fits in a Ziplock bag, can be done in the car, or at court!","",2.0,I provide prewound shuttles and a handout with directions and projects.,3.0,20,2.0,20,1,2013-04-15 12:06:49 -0400
234,A&S 11,2013-07-23 09:00:00 -0400,2013-07-23 12:00:00 -0400,Lady Anastasia Petrovna Chernaya,360,A Period Basket. Really. ,Pennsic University,Multiple Cultures,,true,This year we will be constructing a triangular seed basket as pictured in several period illuminations.,"",3.0,"basket reed, staves, rims, handles",,,,15,2,2013-04-06 23:17:08 -0400
568,A&S 12,2013-07-23 09:00:00 -0400,2013-07-23 11:00:00 -0400,Lady Gwen Blackthorne MacGriogair,839,Beginning Kumihimo,Pennsic University,Far Eastern,,false,"Part 1: Learn the basics of Japanese braiding using the modern foam disk. Students will learn a round, square and flat braid.","Part 1: Learn the basics of Japanese braiding using the modern foam disk. Students will learn a round, square and flat braid. Uses for, history and names of braids will be discussed. Students may bring own equipment if desired.",2.0,total class is 10.00 if just handout 3.00,3.0,20,10.0,20,2,2013-04-23 16:20:01 -0400
214,A&S 3,2013-07-23 10:00:00 -0400,2013-07-23 11:00:00 -0400,Gin,319,Ninja: Truth from Shadows,Pennsic University,Far Eastern,,false,Dare you look into the shadows of history to find the truth? Come to discover both the legends and real history of Japan's famed assassins.,Dare you look into the shadows of history to find the truth? Come to discuss and discover the legends and real history of Japan's famed spies and assassins. This class will deconstruct the romanticized image of the Ninja and discuss the actual history of the world's most famous spies.,1.0,"",,20,,,4,2013-04-23 16:19:59 -0400
452,A&S 6,2013-07-23 10:00:00 -0400,2013-07-23 11:00:00 -0400,Mistress Rhiannon y Bwa,695,Really Long Fingerloop Braids,Pennsic University,Multiple Cultures,,false,How to fingerloop braid a *really* long braid with a new modern trick that requires no special equipment beyond a bit of medical tape.,"How to fingerloop braid a **really** long braid with a new modern trick that requires no special equipment beyond a bit of medical tape. A simple method for intermittent braiding using colored poster board will also be taught. Use this simple method for those really long bodice-lacing braids. Produce long-enough narrow trim very simply. It is helpful if students can already braid a finger loop braid. If you can't, class will try to get you going, class size permitting.",1.0,copying costs for handout pages,1.0,30,,30,2,2013-04-14 23:52:26 -0400
159,Cafe Merhaba,2013-07-23 10:00:00 -0400,2013-07-23 11:00:00 -0400,Lady Ghazalah al-Badriyyah,232,Intro to *Temari* - Japanese Embroidery Balls,Pennsic University,Far Eastern,,false,"Temari balls are wrapped, stitched, and woven into beautiful, colorful patterns that are impressive out of all proportion with how easy they are.","*Temari* dates to about 800 CE. They are based on simple geometry (almost no math needed) and wrapped, stitched, or woven to form patterns over the whole ball. This is a great art for the impatient, as each stitch visibly develops the pattern, and you can easily pick it up or put it down at any time. Best of all, they are impressive out of all proportion with how easy they are! The class will cover basic construction and marking and students will leave with one ball well underway.",1.0,"materials to complete one ball, plus enough to begin several more",,,10.0,10,2,2013-04-23 16:19:59 -0400
593,Sai Or Shyr (B08),2013-07-23 10:00:00 -0400,2013-07-23 11:00:00 -0400,Lady Isabeau Du Valle,882,Beginner Beadwork,Pennsic University,Multiple Cultures,,true,Beginner class on how to put beads on fabric through the SCA time periods.,"",1.0,"Handout printing costs
Bead, thread & Needle costs",2.0,20,2.0,20,1,2013-04-17 05:31:37 -0400
35,Minerva's Spindle  (158),2013-07-23 10:00:00 -0400,2013-07-23 11:00:00 -0400,Mistress Gabrielle d'Auvergne,7,Storytelling Academy,Bardic,Multiple Cultures,,false,"Explore genres, tools, styles, and uses of storytelling. Cultural and medieval approaches, applications, performance coaching.","During this ten-day academy, students will gain knowledge about the history and techniques for storytelling both in the SCA and mundanely. Students may attend individual sessions or all of the academy. There will be guest teachers and time for students to practice and receive feedback. The academy will culminate in a student performance. The focus is on comfort, nurturing, and honing skills within the students’ capabilities. All levels are welcome. Students may pick up a class outline at the academy space, Minerva’s Spindle 158, where classes will also be listed on the message board. Seating is limited; feel free to bring your own chair.",1.0,"",,,,,9,2013-04-17 05:31:33 -0400
139,A&S 2,2013-07-23 11:00:00 -0400,2013-07-23 12:00:00 -0400,Lady Wynne ferch Rhodri,290,Heraldry for Scribes,Heraldry,European,,false,Beginning course for scribes who want to understand herald-speak.,What do heralds mean when they describe someone's device? Where can I find illustrations to their particular way of talking? Who can explain heraldese to me? This and many other questions that scribes have can be answered with this class. Class includes handouts and a brief slide show.,1.0,Fee is for color handouts or students may request copies sent through the e-mail.,,20,,,2,2013-04-23 16:19:59 -0400
52,A&S 3,2013-07-23 11:00:00 -0400,2013-07-23 12:30:00 -0400,Lord Valdis of Gotland,68,Pennsic Runestone Memorial Discussion,Pennsic University,Other,,false,"A discussion of the Pennsic Runestone Memorial Community Project - the concept, design, location and efforts needed to bring this project to light.","A discussion of the Pennsic Runestone Community Project - We will be discussing the concept behind this 9-ton memorial stone that will be carved by you. Most importantly, we will be discussing the funds and what all is needed to bring this project to completion. Those interested in the project as a curiosity are welcome as well as volunteers, donors and anyone who feels moved to be involved. We will discuss the design and the location of this memorial and the park that will evolve around it for memorial services, contemplation or a quiet read.  At the end of the discussion we will take a walk up to the area that has been granted us by the Coopers to carve and erect this memorial stone.",1.5,"",,,,,3,2013-04-09 21:19:29 -0400
109,A&S 4,2013-07-23 11:00:00 -0400,2013-07-23 14:00:00 -0400,Mistress Blitha of Wolfhou,162,"Beginning *Naalbinding*, and How to Make a Mitten",Pennsic University,European,,false,"Learn how to do the basic Oslo stitch, increasing and decreasing stitches. Then put it all together and learn to make a mitten.","There are many different *naalbinding* stitches. The Oslo stitch is a common one used to make mittens. Come learn to do the stitch, and then put it all together and make a mitten.",3.0,"The handout is 10 pages, and includes some color pictures. The kit includes a naalbinding needle and wool yarn ball.",,12,,7,2,2013-04-09 19:35:07 -0400
260,A&S 6,2013-07-23 11:00:00 -0400,2013-07-23 13:00:00 -0400,Mistress Alizaundre de Brebeuf,400,Waste-Free Garment Cutting,Pennsic University,European,,false,"Twice the clothes from half the fabric...or at least, better clothes from less fabric. Come prepared to take notes.","Hand-spun, hand-woven, hand-finished...they never waste a single thread. You don't have to! An overview of the thriftiest cutting and sewing tricks used in the SCA's target centuries. We cover only pre-17th century Western European clothing.",2.0,"",,,,,2,2013-04-06 23:17:09 -0400
476,A&S 7,2013-07-23 11:00:00 -0400,2013-07-23 13:00:00 -0400,Baroness Camilla de la Reynarde,726,"Beginning Tatting, Part 2",Pennsic University,"",,false,Tatting is a type of lacemaking. Supplies can be found at craft stores. Learn a craft that fits in a Ziplock bag. Do it the car or at court!,"",2.0,"I provide a prewound shuttle, a handout with directions & projects.",2.0,20,3.0,20,1,2013-04-15 12:07:36 -0400
564,A&S 9,2013-07-23 11:00:00 -0400,2013-07-23 12:00:00 -0400,Lord Lucien de Pontivy,833,Harp Tuning by Ear,Bardic,"",,false,"A harp in tune is a beautiful thing. Learn to tune your harp by ear, starting from A-440 and listening for intervals.","A harp in tune is a beautiful thing. Learn to tune your harp by ear, starting from A-440 and listening for intervals.",1.0,"",,,,,1,2013-04-19 12:53:15 -0400
576,A&S 12,2013-07-23 11:00:00 -0400,2013-07-23 12:00:00 -0400,Master Victor of Shrewsbury,865,"Thomas Aquinas: The Dumb Ox, The Angelic Doctor",Pennsic University,"",,false,"Aquinas sought to reconcile Aristotle and church doctrine, including the relationship between reason and faith, and the concept of the just war.","In the 13th century Thomas Aquinas sought to reconcile the writings of Aristotle with the doctrines of the church, carrying scholasticism to its ultimate conclusions. His ideas continue to influence both philosophy and theology to this day. We will review the events of his life and briefly explore some of his most important ideas, including his arguments for the existence of God, the relationship between reason and faith, and the concept of the just war.",1.0,0,,25,,25,2,2013-04-15 17:57:27 -0400
512,Dance Tent,2013-07-23 11:00:00 -0400,2013-07-23 12:00:00 -0400,Master Martin Bildner,745,Dancing for Children: Circles and Chases,European Dance,European,,false,It's never too early to learn to dance! Come learn dances fun for all. All youth in attendance require a responsible adult to be present. Ages 4 & up.,"While open to all ages, the class will be geared towards fun and frolicking rather than perfecting steps and is suitable for ages 4 and up. All youth in attendance require a responsible adult to be present. After learning some basic steps, the class will cover a variety of circle dances before turning to the controlled chaos of chasing and ""follow the leader"" dances.",1.0,"",,,,,1,2013-04-23 16:19:59 -0400
783,Silver Horde (Corner of Dragon Trace & Sedalia),2013-07-23 11:00:00 -0400,2013-07-23 15:00:00 -0400,Lady Michele the Ubiquitous,1147,Pork and Garlic Chive Dumplings: *Jiu cai jiao zi*,Pennsic University,Far Eastern,,false,Chinese pork and garlic chive dumplings. http://oriquilt.blogspot.com/2010/08/pennsic-recipes-1-pork-and-chive.html,Chinese pork and garlic chive dumplings. http://oriquilt.blogspot.com/2010/08/pennsic-recipes-1-pork-and-chive.html,4.0,"flour, ground pork, napa cabbage, garlic chives, dried shitake mushrooms, bean vermcelli, soy sauce, sesame oil, rice wine, dried shrimp, scallions, fresh ginger",,,5.0,15,1,2013-05-04 21:23:40 -0400
403,A&S 5,2013-07-23 12:00:00 -0400,2013-07-23 15:00:00 -0400,Lady Muirgheall O'Riein,627,Beginning *Pysanky*,Pennsic University,European,,false,"Students will learn the history of the *pysanka*, and have the opportunity to create one of their own.","Students will learn the history of the *pysanka*, as well as the techniques involved, and have the opportunity to create one of their own. The class is listed as 3 hours to allow plenty of time for writing the shells; it doesn't usually take that long.",3.0,"$5 overall, $2 if you just want the handout (but it IS a hands-on class ...)",2.0,,3.0,,3,2013-04-14 14:55:56 -0400
670,A&S 11,2013-07-23 12:00:00 -0400,2013-07-23 13:30:00 -0400,Lord Ambros Kyrielle,995,Intoduction to Labyrinths,Pennsic University,Multiple Cultures,,false,Labyrinths wend through all of period. Learn the basic types and how to draw them. Explore their change over time. Taught by ”The Chalk Labyrinth Guy”,"It matters not if you are Tudor or Turk, Norseman or Nepalese, Breton or Borgia, labyrinths are a part of your world. Topics covered are ""What *is* a labyrinth?"" ; categories and types; how to draw one; and a whirlwind tour of labyrinths in period. From storytelling devices to dancing floors, from monster trap to heavenly road the labyrinth has meant many things to many peoples. Brought to you by ""That Chalk Labyrinth Guy.""",1.5,"",,,,,2,2013-04-16 13:28:54 -0400
537,A&S 12,2013-07-23 12:00:00 -0400,2013-07-23 13:00:00 -0400,Baroness Verena Entenwirth,806,History of Drinking: Common Medieval Drinks,Pennsic University,"",,true,History of drinks and how they affected society & culture. Includes samples & recipes of common drinks found in the Middle Age & SCA. Over 21 only.,"A look at the history of drinks, especially those in the between 3rd-16th centuries and how they affected society and culture. Class will include samples (and recipes) of the most common drinks found in the Middle Ages (and in the SCA). No instruction on brewing provided. Over 21 only.",1.0,$5 for handout and samples,5.0,25,,,2,2013-04-15 15:35:52 -0400
363,Amphitheater,2013-07-23 12:00:00 -0400,2013-07-23 13:00:00 -0400,Lady Noelle de la Plume,524,Fool School,Performing Arts,European,,false,Are you a fool or a fool wannabe? Come to Fool School to share and learn. Prepare a 5-minute skit to perform. All experience levels welcome.,"Are you a fool or a fool wannabe? Come to Fool School to share and learn. Fools/performers of all types and experience levels are welcome. Jugglers, magicians, singers, freaks and geeks. Get help creating or honing a skit of no more than 5 minutes to perform in the Performing Arts Pavilion on Thursday afternoon of War Week. You might even become a “Licensed Fool.”",1.0,"",,,,,10,2013-04-13 16:34:01 -0400
656,Dance Tent,2013-07-23 12:00:00 -0400,2013-07-23 13:00:00 -0400,Lady Margherita Battistina,952,Heavenly Dancing,European Dance,European,,false,"Learn two dances by Caroso, titled about celestial objects: *Ardente Sole* (Burning Sun) & *Fulgente Stella* (Shining Star). For all dance levels.","Come learn two dances by Caroso, titled about celestial objects: *Ardente Sole* (Burning Sun) and *Fulgente Stella* (Shining Star). Dancers of all levels welcome.",1.0,"",,,,,1,2013-04-23 16:20:01 -0400
370,Livonia Smithery (170),2013-07-23 12:00:00 -0400,2013-07-23 13:00:00 -0400,Lord T W,555,Beginning *Repoussé* & Chasing,Pennsic University,"",,false,Hands-on class; will make a copper foil rose.,Hands-on class; will make a copper foil rose.,1.0,Hand out,5.0,12,,,10,2013-04-17 14:30:23 -0400
280,A&S 3,2013-07-23 13:00:00 -0400,2013-07-23 14:00:00 -0400,Lady Raziya Bint Rusa,417,Persian Plants,Pennsic University,Middle Eastern,,false,"Find out what plants grew in ancient Iran. Good for those interested in cooking, gardening, herbalism, or illumination.","Want to know what to plant in your Persian garden? Find out what plants grew in ancient Iran. Good for those interested in cooking, gardening, herbalism, miniature painting, or envisioning the period landscape. The class will draw from modern taxonomy, period illustrations, and period cooking. In addition, the class will cover which plants are available to plant in your garden, and which ones should be avoided.",1.0,Two dollars covers a color handout.  ,2.0,20,,,2,2013-04-23 16:19:59 -0400
4,A&S 6,2013-07-23 13:00:00 -0400,2013-07-23 14:30:00 -0400,Lady Caterina Giaocchini,49,White Work Embroidery,Pennsic University,Multiple Cultures,,false,"A brief history, a few stitches, a work in progress. Create a sampler of a few beginning stitches.","",1.5,"Handout, linen, thread, needle.",1.0,10,1.0,10,1,2013-04-06 23:17:07 -0400
500,A&S 7,2013-07-23 13:00:00 -0400,2013-07-23 14:00:00 -0400,Mistress Hilderun Hugelmann,767,Livery Collars,Pennsic University,European,,false,"An exploration of this elite accessory, with a focus on earlier examples and historical significance, plus a discussion of how to adapt to SCA use.","",1.0,"",,10,,,2,2013-04-15 12:38:34 -0400
686,A&S 9,2013-07-23 13:00:00 -0400,2013-07-23 14:30:00 -0400,Mistress Amelie d'Anjou,929,11th-13th-Century Aquitainian Polyphony,Bardic,European,,false,Perhaps the earliest extant part-music we have is from monasteries in Eleanor of Aquitaine's backyard. Before the Notre-Dame school. Handout included.,"Perhaps the earliest extant part-music we have is from monasteries in Eleanor of Aquitaine's backyard. We'll discuss the early evolution of written music, and the difficulties of reading it. This music pre-dates the Notre-Dame school of Leonin and Perotin. Handout with musical examples included.",1.5,for handout ,1.0,15,,,1,2013-04-19 12:42:03 -0400
551,A&S 12,2013-07-23 13:00:00 -0400,2013-07-23 14:00:00 -0400,Mistress GraziaGeralda,824,Hand-Sewing 101,Pennsic University,"",,false,"A discussion and hands-on of hand-sewing of garb, etc. This is not embroidery but useful stitches. Please bring needle, thread and light cloth.","",1.0,"",,,,,2,2013-04-15 19:33:48 -0400
455,Dance Tent,2013-07-23 13:00:00 -0400,2013-07-23 14:00:00 -0400,brother Guilaume di San Marino,702,Beginners' Inns of Courts,European Dance,European,,false,"Middle class English dances from the Inns of Courts, simple enough for everyone to do. Very low impact. ""Cheat notes"" provided.","",1.0,"",,24,,,1,2013-04-14 19:29:04 -0400
371,Livonia Smithery (170),2013-07-23 13:30:00 -0400,2013-07-23 14:30:00 -0400,Lord T W,565,Beginning Engraving,Pennsic University,"",,true,"Hands-on class. Intro to tools, first cuts, graver control, hammer use.","Hands-on class. Intro to tools, first cuts, graver control. Student will learn both hand-held and hammer-struck engraving.",1.0,printed handout,5.0,12,,,10,2013-04-17 20:42:54 -0400
714,A&S 2,2013-07-23 14:00:00 -0400,2013-07-23 15:00:00 -0400,Baron Rowen Cloteworthy,944,"Court, Improv, and a Deck of Cards",Heraldry,"",,false,Baronial or Royal Court as improv theatre; using a deck of index cards and some preparation to make it all run smoothly.,"Court is both a planned experience and improv theatre all at once. This class will discuss one method of putting together Court - either Baronial or Royal - from an Eastern point of view, using a deck of index cards and a bit of preparation. We will discuss how to address the needs of your nobles, the protocol of who stands where in the Procession, how to move people around the stage, ways to lay out the court docket, and how to adapt to changes in the middle of Court..",1.0,"",,,,,2,2013-04-16 10:36:38 -0400
137,A&S 3,2013-07-23 14:00:00 -0400,2013-07-23 15:00:00 -0400,Lady Edith de Laufare,209,Ditch that Dome!,Pennsic University,"",,false,How to shop for a period pavilion: practical considerations and planning tips. Spend your money wisely & end up a happy camper.,"Tired of hiding your home-away-from-home behind decorative walls or other peoples' pavilions? Ready to move up to canvas and wood, or looking to downsize from that polefarm? Before you plunk down your cash or invest copious hours in project time, let one OCD tent-shopper share what she learned after making her first tent and buying her second tent. Practical considerations and planning tips covering types of tents, ease of transport and assembly, make-vs-buy, what you'll use it for, and how big your tent should be. Tents appropriate for your persona will be very briefly touched on, but this is mostly a nuts & bolts brain dump of assessing options and determining feasibility of portable structures.",1.0,"",,,,,2,2013-04-06 23:17:08 -0400
180,A&S 4,2013-07-23 14:00:00 -0400,2013-07-23 15:00:00 -0400,Lady Aaradyn Ghyoot,258,Interrogating Your Museum,Pennsic University,"",,false,"It's time to get more out of your museum. Find out what to ask, who to ask, and what to do with the answers once you have them.","",1.0,"",,,,,2,2013-04-23 16:20:00 -0400
424,A&S 7,2013-07-23 14:00:00 -0400,2013-07-23 15:30:00 -0400,Scholastica Joycors,659,Event Decorating on a Shoestring,Pennsic University,Multiple Cultures,,false,Learn how to cut heraldic forms for centerpieces or wall decorations out of paper to decorate feast halls or event sites. Class materials supplied.,"Learn how to cut heraldic forms for centerpieces or wall decorations out of paper to decorate feast halls or event sites. Applications for metalwork, leather work, stained glass or clothing decorations. Ages 12 & up. Class materials supplied. Pattern book available for $20.",1.5,"",,50,,,3,2013-04-25 19:17:25 -0400
719,A&S 12,2013-07-23 14:00:00 -0400,2013-07-23 15:00:00 -0400,THL Illuminada Eugenia de Guadalup,1038,16th-Century Spanish Sleeves,Pennsic University,European,,false,"A look at 16th-century Spanish sleeves - undersleeves, hanging sleeves, shoulder caps, split sleeves, and oversized sleeves.","A review of sleeves on men and women's garb in 16th-century Spain. After perusing pictures of undersleeves, hanging sleeves, shoulder caps, split sleeves and oversized sleeves, there will be discussion of how they likely were made.",1.0,"",,,,,2,2013-04-23 16:20:00 -0400
650,Dance Tent,2013-07-23 14:00:00 -0400,2013-07-23 15:00:00 -0400,Lady Margherita Battistina,953,Beginner Dance: 16th-Century Italian Dance,European Dance,European,,false,"Never danced before? No problem! This class starts with basic steps and patterns, then teaches simple, late 16th-C Italian dances.","Never danced before? No problem! This class starts with basic steps and patterns, then teaches simple, late 16th-C. Italian dances. *La Castellana* will be taught.",1.0,"",,,,,1,2013-04-16 16:57:23 -0400
224,Pine Box Traders (192),2013-07-23 14:00:00 -0400,2013-07-23 15:00:00 -0400,THL Egill the Loomwright,334,Inkle Weaving Basics,Pennsic University,"",,false,"Using the continuous warping method, you will warp the loom and weave an inkle strip.","Warp a loom, weave a small strap or trim piece. Using the continuous warping method, you will warp the loom and weave an inkle strip. Classroom loaner looms available or bring your own.",1.0,"weaving materials, string",,,3.0,,6,2013-04-23 16:20:02 -0400
241,A&S 2,2013-07-23 15:00:00 -0400,2013-07-23 16:00:00 -0400,Master Cormac Mor,371,Heraldic Flag Design,Heraldry,"",,false,"Learn about the various types of heraldic flags that existed in period, their design and application. Then design your own!","What does one do with those fantastic animals, interesting designs and brilliant colors needed for a good heraldic design? And where does one apply said design? Before heraldry ever appeared on shield and surcoat, those heraldic designs fluttered over the heads of kings and peasants, like majestic birds, in the form of banners, pennons, standards and gonfalons. Learn about the various types of heraldic flags that existed in period, their design and application. Then design your own!",1.0,"",,40,,,3,2013-04-06 23:17:08 -0400
18,A&S 3,2013-07-23 15:00:00 -0400,2013-07-23 17:00:00 -0400,Master Elias Gedney,35,Eight Essential Knots for the SCA Camper,Pennsic University,"",,false,Hands-on class on how to tie eight basic and important knots that can make your camping life easier and safer.,Hands-on class on how to tie eight basic and important knots that can make your camping life easier and safer.,2.0,"",,,,,1,2013-04-06 23:17:07 -0400
215,A&S 4,2013-07-23 15:00:00 -0400,2013-07-23 16:00:00 -0400,Mistress Radegund of Lutra,323,The Peplos Dress: It's *Not* a Baggy Bog Dress,Pennsic University,European,,false,"The peplos: History during the times and cultures covered by the SCA, how to make one, and how to wear it.","",1.0,photocopying 8-10 pages,1.0,15,,,1,2013-04-07 06:25:12 -0400
351,A&S 6,2013-07-23 15:00:00 -0400,2013-07-23 17:00:00 -0400,Viscountess Jeanmaire du Domrémy,521,Beyond the T-tunic: The Bocksten Cote and Hood,Pennsic University,European,,true,"Covers the history, cut, fitting, and trims and fabrics to use for the Bocksten Cote & Hood. Each student *should bring a tape measure*.","The one-piece cut for the t-tunic that we so often introduce newcomers to cannot be easily documented, either in the archaeological finds, or in the artistic remains from the Dark Ages. One cut that was commonly found, however, is typified by the Bocksten Bog find in Sweden. This class covers the history, cut, fitting, and appropriate trims and fabrics to use for this garment. Each student will leave with a pattern for a Bocksten Cote that has been individually adapted to their measurements. Also included is a discussion of the hood found nearby, and a reconstruction of a hood pattern possibly in use at that time. Students *should bring a tape measure* to class.",2.0,"",,40,,,2,2013-04-23 16:19:59 -0400
171,A&S 11,2013-07-23 15:00:00 -0400,2013-07-23 17:00:00 -0400,THL Godfrey Thacker,244,Introduction to All-Grain Brewing,Pennsic University,European,,true,"For kit/extract brewers wishing to move up to making beer from all-grain recipes. Hands-on, 2-hr. class covering equipment and methods. Over 21 only.","For kit/extract brewers who wish to move up to making beer from all-grain recipes. Taught as a 2-hour, hands-on class covering equipment and methods, insights to period practices and recipes. Tips on brewing at Pennsic for Pennsic. (Students are invited to stop by instructor's camp in second week to taste the short ale made during the class.) Over 21 only.",2.0,"",,20,,,1,2013-04-09 21:04:32 -0400
400,Dance Tent,2013-07-23 15:00:00 -0400,2013-07-23 16:00:00 -0400,Baroness Gwenllyen the Minstrel,620,Beginner Dance: English Country Dance,European Dance,European,,false,"Never danced before? No problem! This class will start with basic steps and patterns, and then teach simple English Country Dance.","",1.0,"",,,,,1,2013-04-17 22:00:50 -0400
372,Livonia Smithery (170),2013-07-23 15:00:00 -0400,2013-07-23 16:00:00 -0400,Lord T W,575,Advanced *Repoussé* & Chasing ,Pennsic University,"",,true,"Intro to pitch block working, forming, plus tool and hammer use. Produce a copper letter amulet.","Intro to pitch block working, forming, plus tool and hammer use. Produce a copper letter amulet.",1.0,hand out,5.0,12,,,5,2013-04-17 14:23:27 -0400
635,A&S 2,2013-07-23 16:00:00 -0400,2013-07-23 17:00:00 -0400,Lady Aaradyn Ghyoot,965,Building Scrolls Without a Book of Hours,Pennsic University,Multiple Cultures,,false,What? No Book of Hours? Yes! Learn how to use period artwork to build scrolls and break into a new area of creativity.,"",1.0,"",,,,,2,2013-04-23 16:20:01 -0400
364,A&S 7,2013-07-23 16:00:00 -0400,2013-07-23 18:00:00 -0400,Lord Maraha Kahanikar,548,Basic Ka-Kha-Ga-Gha,Pennsic University,Other,,false,"Written forms, pronunciations, and usage of *devanagari* script used by Hindi, Sanskrit and other Indic languages.","Written forms, pronunciations, and usage of *devanagari* script used by Hindi and other North Indic languages (including Sanskrit, post-period). While the focus of this class is on Hindi usage, the characters and pronunciation are nearly identical for the others. There will be examples in Hindi. Please bring a writing utensil which makes a dark, easily-visible line. This is not a calligraphy class.
1st hour: Basic characters and pronunciation
2nd hour:  Vowel and half-letters forms; more if time and student interest allow.",2.0,"",,,,,2,2013-04-14 13:41:48 -0400
517,Dance Tent,2013-07-23 16:00:00 -0400,2013-07-23 18:00:00 -0400,Mistress Emma Danskona,749,Gresley Dances: Troublesome Tribus,European Dance,European,,false,These 15th-C English dances are for groups of three and are slightly more challenging.,These 15th-C English dances are for groups of three and are slightly more challenging.,2.0,"",,,,,1,2013-04-15 10:41:58 -0400
497,A&S 3,2013-07-23 17:00:00 -0400,2013-07-23 18:30:00 -0400,Lady Droen O'Rourke,763,Quick & Easy Handmade Largess,Pennsic University,"",,false,"A discussion about largess - why we should give it, why you should make it, and what options are out there. We will make two to three examples.","A discussion about largess - why we should give it, why you should make it, and what options are out there. We will make two to three examples.",1.5,"Wire, beads, findings, ribbon, dowel",2.0,,5.0,15,2,2013-04-23 16:20:00 -0400
398,A&S 4,2013-07-23 17:00:00 -0400,2013-07-23 18:30:00 -0400,Lord Conrad Kienast,617,Song of the Valkyrie,Pennsic University,European,,false,"A look at the *Darradarljod*, a Norse poem which compares battle to weaving; includes an account of the Battle of Clontarf (north of Dublin-1014 CE).","A look at the *Darradarljod*, a Norse poem which compares battle to weaving; including an account of the Battle of Clontarf (north of Dublin - 1014 CE).",1.5,"",,20,,,2,2013-04-12 21:32:06 -0400
660,Dance Tent,2013-07-23 21:00:00 -0400,2013-07-24 00:00:00 -0400,Pennsic Dance Staff,954,Open Dancing,European Dance,European,,false,Join us all evening for dancing by request.,"",3.0,"",,,,,4,2013-04-17 09:14:52 -0400
756,Games Tent,2013-07-24 00:00:00 -0400,2013-07-24 01:00:00 -0400,Lord István Nyiregyhazi,1095,Morris Games,Games,Multiple Cultures,,false,We will teach Nine Man's Morris and other games of that family (which include the modern tic tac toe).,We will teach Nine Man's Morris and other games of that family (which include the modern tic tac toe).,1.0,"",,,,,2,2013-04-20 14:53:09 -0400
82,A&S 2,2013-07-24 09:00:00 -0400,2013-07-24 10:30:00 -0400,Lady Moll Sotherden,133,Scribal Efficiency,Pennsic University,Multiple Cultures,,true,"Tips, tricks, and esoteric ways to become more efficient in the scribal arts. A general working knowledge about the scribal arts is recommended.","Taught by a professional stained glass artist by day, scribal geek by night.  Come learn some new tips, tricks, and esoteric bits on how to become a more efficient scribe. This class is geared towards folks with a general working knowledge about the role that the scribe plays in the SCA, and is suitable for both calligraphers and illuminators.  Calligraphers should bring a ruler and pencil.",1.5,pay for printing costs of handout.,,15,,,2,2013-04-23 16:20:00 -0400
